Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352848.2036374,768,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352849.2027738,769,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352850.2030044,770,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352851.2019265,771,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352852.202896,772,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352853.202368,773,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352854.1998286,774,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352855.2022967,775,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352856.2031736,776,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352857.201958,777,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352858.20165,778,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352859.1999013,779,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352860.2022202,780,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352861.20173,781,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352862.2014492,782,0,0,,42.33948666666667,-71.09049833333333,13.6,327789.5682014419,4689586.61938544,19.0,T,0
1646352863.2031465,783,0,0,,42.33948666666667,-71.09049833333333,13.7,327789.5682014419,4689586.61938544,19.0,T,0
1646352864.2016568,784,0,0,,42.33948666666667,-71.09049833333333,13.7,327789.5682014419,4689586.61938544,19.0,T,0
1646352865.2026932,785,0,0,,42.33948666666667,-71.09049833333333,13.7,327789.5682014419,4689586.61938544,19.0,T,0
1646352866.2015634,786,0,0,,42.33948666666667,-71.09049833333333,13.7,327789.5682014419,4689586.61938544,19.0,T,0
1646352867.2033122,787,0,0,,42.33947833333334,-71.09049666666667,13.3,327789.68275340495,4689585.690656289,19.0,T,0
1646352868.2025902,788,0,0,,42.33947833333334,-71.09049666666667,13.1,327789.68275340495,4689585.690656289,19.0,T,0
1646352869.2024417,789,0,0,,42.33949,-71.09050166666665,13.0,327789.302697631,4689586.996278048,19.0,T,0
1646352870.2013392,790,0,0,,42.339510000000004,-71.09051166666666,13.0,327788.53348650824,4689589.237380222,19.0,T,0
1646352871.202661,791,0,0,,42.33953499999999,-71.09052166666667,12.9,327787.7779260708,4689592.0336946435,19.0,T,0
1646352872.2010171,792,0,0,,42.339561666666675,-71.09052666666666,12.8,327787.4388216216,4689595.004952977,19.0,T,0
1646352873.2011912,793,0,0,,42.339589999999994,-71.09052333333334,12.7,327787.7907760364,4689598.144403874,19.0,T,0
1646352874.2026892,794,0,0,,42.33961833333333,-71.09050666666667,12.7,327789.2411432031,4689601.256849881,19.0,T,0
1646352875.2024775,795,0,0,,42.33964500000001,-71.09047499999998,12.7,327791.9226732399,4689604.153845364,19.0,T,0
1646352876.2027555,796,0,0,,42.33966999999999,-71.09042833333332,12.7,327795.83536476677,4689606.835391689,19.0,T,0
1646352877.2024019,797,0,0,,42.339695,-71.09037,12.7,327800.70916342025,4689609.493312372,19.0,T,0
1646352878.1986191,798,0,0,,42.339724999999994,-71.09029833333334,12.6,327806.6950181801,4689612.679446265,19.0,T,0
1646352879.2024493,799,0,0,,42.33976333333333,-71.09022166666668,12.6,327813.1155183683,4689616.780813267,19.0,T,0
